"filename","url","format","width","height","bytes"
"DSCF2587","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760976027/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/DSCF2587.jpg","jpg","960","1440","867934"
"CHI-9381","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760976492/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-9381.jpg","jpg","1440","960","681987"
"CHI-9127","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760976648/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-9127.jpg","jpg","1440","960","634739"
"DSCF9626","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760976744/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/DSCF9626.jpg","jpg","1440","960","1032935"
"CHI-9872-Website-2","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760976748/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-9872-Website-2.jpg","jpg","1440","900","764526"
"CHI-5041","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760977113/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-5041.jpg","jpg","1440","960","1424197"
"CHI-20","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760977193/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-20.jpg","jpg","960","1440","564055"
"CHI-1342","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760977261/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-1342.jpg","jpg","1440","960","642882"
"CHI-8849","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760977381/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-8849.jpg","jpg","960","1440","484383"
"CHI-823-Website-2","https://res.cloudinary.com/dvwdoezk1/image/upload/v1760977428/home/camo/new/beloveful.com/public/Website%20beloveful.com/North%20America/Chicago/CHI-823-Website-2.jpg","jpg","966","1440","653412"
